Country,Regulator,Issuance,Year,Scope,Fair treatment & market conduct,Safeguarding of Funds,Transparency & disclosure,"Product design, suitability & distribution",Pricing & fees,Consumer data protection & privacy,Consumer redress & dispute resolution,Complaints Handling,Consumer education & awareness,Vulnerable & special consumer groups,Reporting requirements,Sanctions,Unnamed: 18,Source_Original,Source_EN,Amendment_Of
Singapore,Monetary Authority of Singapore (MAS),Payment Services Act 2019 (PSA),2019.0,Payment systems,,"""-A major payment institution or licensee must ensure that no later than the next business day after any relevant money is received from, or on account of, a customer, the whole or such part, as may be prescribed, of the relevant money, is safeguarded in one of the following manners:
(a) by an undertaking, from a safeguarding institution, to be fully liable to the customer for the relevant money;
(b) by a guarantee given by a safeguarding institution for the amount of the relevant money;
(c) by depositing the relevant money in a trust account maintained with a safeguarding institution;
(d) in such other manner as may be prescribed.

-MAS may make regulations under section 103 to provide for all or any of the following matters:
(a) any matter concerning the safeguarding of relevant money
(b) any matter concerning the depositing of relevant money in a trust account mentioned """,,,"MAS by written notice, require any licensee, or any person acting on behalf of a licensee, to provide to the Authority, within such period as the Authority may specify in the notice, all such information relating to the licensee’s business of providing any payment service including the pricing of, or any other form of consideration for, any payment service offered or provided by the licensee",,,"A licensee must appoint at least one person to be present, on such days and at such hours as the Authority may specify by written notice, at the licensee’s permanent place of business or registered office to address any queries or complaints from any payment service user that uses any payment service provided by the licensee or is a customer of the licensee",,,"A licensee must submit to MAS reports relating to the licensee’s business in such form, manner and frequency as the Authority may specify by written notice.",,,https://sso.agc.gov.sg/Act/PSA2019,https://sso.agc.gov.sg/Act/PSA2019,
Thailand,The Minister of Finance,Payment Systems Act B.E.2560,2017.0,Payment systems,"The BOT shall be responsible for the supervision of the highly important payment system for the purpose of stability, security and efficiency of the system by having the power to issue notifications prescribing rules in the following matters:    

a. System operating procedures, include rules and conditions relating to payment finality
b. Member access criteria  
c. Rights, obligations and responsibilities of the highly important payment system providers and members 
d. Risk management of the system 
e. Security measure of the system 
f. Emergency management 
g. Any other matter as prescribed by the BOT.

The BOT shall have the power to issue notifications prescribing
rules of the provisions of designated payment systems and designated payment services in the following matters:
(1) supervision of financial conditions and results of operations;  
(2) standard of business operations; 
(3) management according to the good governance;  
(4) risk management;   ","-Business provider of the payment services who receive money received in advance from services users shall prepare accounts of money received in advance for each service user and segregate such money from its own properties and may not use such money for any other purpose in accordance with the rules as prescribed in the notification of the BOT.

-Protection Upon Receivership or Bankruptcy
Money received in advance:
(a) Is deemed to be the asset of service users
(b) Shall not be subject to seizure, attachment, or allocation to creditors in civil or bankruptcy proceedings",The BOT shall have the power to issue notifications prescribing  rules of the provisions of designated payment systems and designated payment services in  data disclosure regarding services provision ,,,- The BOT shall have the power to issue notifications prescribing rules of the provisions of designated payment systems and designated payment services in the storage and disclosure of personal data of service users,,,,,"The BOT may require a business provider to submit financial  statements, reports or data in any form of media or produce any document at any  interval or from time to time, including to provide clarifications or elaborate such  reports, data or documents in accordance with the rules as prescribed in the  notification of the BOT.
The BOT may order the business provider to cause its directors, managers,  officers or employees to make a statement, adduce data, accounts, documents and  other evidences relating to the business within the time prescribed.  ","-Any person who violates or fails to comply with the rules Section 7 (BOT shall be responsible for the supervision of the highly important payment system By having the power to issue notifications prescribing rules) shall be subject to an administrative fine not exceeding three million baht.
-In case a business provider fails to operate business or ceases to operate business in accordance with the rules as prescribed in the  notification of the BOT, the Minister shall have the power to revoke the license or the  BOT shall have the power to revoke the registration of such business provider
The BOT shall have the power to order the business provider who ceases to  operate business under the first paragraph to perform any act in order to protect the  interest of the service users.
-In case the financial condition or operation of a business provider may cause damage to the public or the business provider violates  or omits to comply with the rules as prescribed in the notification of the BOT, the BOT  may order such business provider to make rectification within the time specified. If the order to rectify the financial condition or operation is granted to the licensed business provider, the BOT shall report to the Minister for information.  ",,https://www.bot.or.th/content/dam/bot/documents/en/laws-and-rules/laws-and-regulations/legal-department/4-payment-act/4.1%20LAW04_PaymentSystemAct.pdf,https://www.bot.or.th/content/dam/bot/documents/en/laws-and-rules/laws-and-regulations/legal-department/4-payment-act/4.1%20LAW04_PaymentSystemAct.pdf,
Thailand,Bank of Thailand (BOT) ,BOT Notification No. SorNorChor. 1 /2561 Re: Regulations on Supervision for System Operator of the Highly Important Payment Systems,2018.0,"Highly Important Payment Systems, Designated Payment Systems Business, Designated Payment Service Business, Agents of the Business Providers of the Designated Payment Services","System operator shall establish objectives, rules, conditions, procedures, and fees or expenses relating to the access and exit regime clearly in writing; by considering 
the principles of fair and open access, and disclosing them to the members and public.

the business providers must ensure that the payment systems are efficient, and feedback from system users are received, as well as business rules and conditions for accessing and exiting the systems with fairness and openness are set.",,"- Disclose relevant information relating to the service provided sufficiently for service users to 
make decision to choose the service that meets their needs",,"Disclose details of service fee being charged to service users by 
posting a notice at every premise or by any other methods that enable service users to be informed. In this regard, in setting the service fee, business providers of designated payment services must also consider fairness to service users. 
In case of changing service fee, business providers of designated 
payment services must announce or post the details of such change at every premise or by any other methods that enable service users to be informed.  In case that the changes cause any disadvantages to service users, business providers of designated payment services must notify service users in advance no less than 30 days prior to the effective date of the changes. ","Must protect data privacy of service users 
Establish policy to protect data privacy of service users, determine 
level of confidentiality for data access, and identify persons who have access rights to such information, as well as arrange the data storage system that is accurate and reliable to prevent the unauthorized person from accessing to or modifying the data maintained. 
Protect service users’ confidentiality and data privacy by not disclosing such information during and after the course of services.",,Take actions when there are complaints or arguments from service users as well as determine timeframe to resolve the case.,,,,,,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,
Thailand,Bank of Thailand (BOT) ,BOT notification No. SorNorChor. 4/2561 Re:Regulations on  Supervision of  the Designated Payment Systems Business,2018.0,"Highly Important Payment Systems, Designated Payment Systems Business, Designated Payment Service Business, Agents of the Business Providers of the Designated Payment Services","System operator shall establish objectives, rules, conditions, procedures, and fees or expenses relating to the access and exit regime clearly in writing; by considering 
the principles of fair and open access, and disclosing them to the members and public.

the business providers must ensure that the payment systems are efficient, and feedback from system users are received, as well as business rules and conditions for accessing and exiting the systems with fairness and openness are set.",,"- Disclose relevant information relating to the service provided sufficiently for service users to 
make decision to choose the service that meets their needs",,"Disclose details of service fee being charged to service users by 
posting a notice at every premise or by any other methods that enable service users to be informed. In this regard, in setting the service fee, business providers of designated payment services must also consider fairness to service users. 
In case of changing service fee, business providers of designated 
payment services must announce or post the details of such change at every premise or by any other methods that enable service users to be informed.  In case that the changes cause any disadvantages to service users, business providers of designated payment services must notify service users in advance no less than 30 days prior to the effective date of the changes. ","Must protect data privacy of service users 
Establish policy to protect data privacy of service users, determine 
level of confidentiality for data access, and identify persons who have access rights to such information, as well as arrange the data storage system that is accurate and reliable to prevent the unauthorized person from accessing to or modifying the data maintained. 
Protect service users’ confidentiality and data privacy by not disclosing such information during and after the course of services.",,Take actions when there are complaints or arguments from service users as well as determine timeframe to resolve the case.,,,,,,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,
Thailand,Bank of Thailand (BOT) ,BOT Notification No. SorNorChor. 6/2561 Re: Regulations on General Supervision of Undertaking Designated Payment Service Business,2018.0,"Highly Important Payment Systems, Designated Payment Systems Business, Designated Payment Service Business, Agents of the Business Providers of the Designated Payment Services","System operator shall establish objectives, rules, conditions, procedures, and fees or expenses relating to the access and exit regime clearly in writing; by considering 
the principles of fair and open access, and disclosing them to the members and public.

the business providers must ensure that the payment systems are efficient, and feedback from system users are received, as well as business rules and conditions for accessing and exiting the systems with fairness and openness are set.",,"- Disclose relevant information relating to the service provided sufficiently for service users to 
make decision to choose the service that meets their needs",,"Disclose details of service fee being charged to service users by 
posting a notice at every premise or by any other methods that enable service users to be informed. In this regard, in setting the service fee, business providers of designated payment services must also consider fairness to service users. 
In case of changing service fee, business providers of designated 
payment services must announce or post the details of such change at every premise or by any other methods that enable service users to be informed.  In case that the changes cause any disadvantages to service users, business providers of designated payment services must notify service users in advance no less than 30 days prior to the effective date of the changes. ","Must protect data privacy of service users 
Establish policy to protect data privacy of service users, determine 
level of confidentiality for data access, and identify persons who have access rights to such information, as well as arrange the data storage system that is accurate and reliable to prevent the unauthorized person from accessing to or modifying the data maintained. 
Protect service users’ confidentiality and data privacy by not disclosing such information during and after the course of services.",,Take actions when there are complaints or arguments from service users as well as determine timeframe to resolve the case.,,,,,,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610082.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610082.pdf,
Thailand,The Consumer Protection Board,Consumer Protection Act B.E. 2522 (1979),1979.0,Consumers and business operators,"-The consumer has the following right to receive a fair contract.
-An advertisement may not contain a statement which is unfair to consumers or which may cause adverse effect to the society as a whole; that is, notwithstanding such statement concerns with the origin, condition, quality or description of goods or services as well as the delivery, procurement or use of goods or services.
- A contract between a businessman and the consumers does not stipulating the unfair contract terms to the consumers. ",,"The consumer has the right to receive correct and sufficient information and description as to the quality of goods or services                                                        
The Consumer Protection Board shall have the power to issue or publicize information concerning goods or services which may case damage to or be prejudicial to the right of the consumers and for this purpose, the names of such goods or service or the name of the businessman",Not applicable to payments,,,"Consumers may bring:
-civil claims for damages;
-actions to rescind or invalidate unfair contracts;
-cases involving misleading or unfair practices.

Courts may award:
-compensation,
-corrective remedies,
-injunctive relief.",The Consumer protection board shall have the power to consider the complaints from the consumers who suffer hardship or injury resulting from the acts of the business man,"The Office of the Consumer Protection Board shall have the powers to promote and encourage the Providing of education the consumers at all levels on safety and harm from the goods or service and to propagate technical information and provide educational information to consumer in order to instill the consumption habit promote health, is economical and maximizes the utilization of natural resources",,"-The Board and the ad hoc committees have the power to order any person to submit documents or
particulars in connection with the subject-matter of complaints or other matters in connection with the
protection of the consumer’s right for consideration. For this purpose, the person concerned may be
summoned to give an explanation. ","The Consumer Protection Board may:
-order a business operator to cease unfair or misleading conduct;
=require correction or removal of misleading advertisements;
-mandate corrective statements or advertisements.

Sanctions may include:
-fines (amount depends on the specific offense)
-imprisonment, or
-both, depending on the provision breached.",,https://www.ocpb.go.th/ewtadmin/ewt/ocpb_en/download/consumer%20protection%20act.pdf,https://www.ocpb.go.th/ewtadmin/ewt/ocpb_en/download/consumer%20protection%20act.pdf,
Thailand,Bank of Thailand (BOT) ,Regulations on Market Conduct,2018.0,"Financial institutions, companies within the financial business groups, non-bank credit card companies, non-bank personal loan companies

excluding nano-finance companies under supervision, e-payment companies, asset management companies and companies that operate specific business under supervision of other supervisory agencies e.g. securities companies, asset management companies, life insurance companies, non-life insurance companies  ","-The key principle is to ensure that customers are fairly treated and protected, while the security and well-being of the public are preserved
-The board of directors and senior management of service providers must have responsibility for promoting fair market conduct in a concrete and effective way, while fair market conduct must be treated as the core of corporate culture",,"-The presentation of products and services must help customers to differentiate if any particular product is the main product or product of other service provider to ensure that the customers are not confused or misunderstood e.g. the customer misunderstands that the purchase of insurance is to make deposits.
-In offering products and services to customers that a service provider contacts customers itself e.g. tele-sales, email or SMS marketing, the service provider must clearly inform the customers that they have rights to decline any communications from the service provider and also inform the channels for cancelling those communications
-There must be a system that will ensure that customers are offered choices of products that they are interested in and key distinctions, as well as explained and provided with a product sales document that summarizes key features of products, completed details of conditions, benefits and warnings.
- A service provider must disclose, explain and deliver information of the products that are offered to customers so that they can make a decision based on such information, or information of service that the customers currently use.","-A service provider offers products that are appropriate to needs, financial capability, and understandability of each category of their target customers, while those products are also appropriate to sales skills of their staff, operating systems as well as capability to control the sales quality and fair treatment of customers, while the customers are offered fair products, in respect of prices and conditions
This includes:
- process for developing or selecting products that will be sold to customers
-products that are appropriate to needs, financial capability, and understandability of each category of their target customers
- products must be classified according to their complexity, risks or any criteria, and
there must also be the classification of customers (client segmentation) in order to decide appropriate products for each category of customers, sales procedures, communication and staff training, control and reviews of sales practices.","-The appropriateness of conditions and benefits of the products, as their prices and fees must be appropriately set and reflect actual costs, while the customers must not be exploited, and a service provider must not be in collusion with other service providers to set the prices, features and conditions that are disadvantageous to customers, especially setting the interest rates and fees that do not reflect actual costs. On this, the customers must be able to easily assess and compare the conditions and prices of products and services.","customer data must be safeguarded, as service providers place importance on customer privacy and data security, while the transmission of customer information to other entities must not invade customer
privacy
-There must be systems, tools and processes to ensure that the sale of products and services does not invade customer privacy, while customer information is acquired legally, in accordance with the internal policy of the service provider, especially face-to-face sales and tele-sales. ","A service provider must have measures to resolve problems and redress customers, must set out the standard for resolving problems with similar characteristics, and must set a timeframe for each step of resolution that is appropriate and timely, while the customers must periodically be informed of the resolution progress. A timeframe and factors for determining a redress or compensation package must be fair, especially for problems caused by the service provider itself i.e. system failures or staff error, while the same treatment should apply to the similar cases e.g. the service provider must not give compensation “only” to customers that it has relationship with","-There must be a unit and staff responsible for accepting customer problems and complaints that customers can conveniently and directly contact. There must be various channels for customers to make complaints, which can accommodate behaviors of each group of customers, while the customers must be informed of the channels that they can raise issues or make complaints, covering complaints about the business operations and those about service of the staff, the scope of complaints thatthey can make, channels and methods by which the complaints can rapidly be handled
-There must be a system for tracking the progress of problem or complaint handling to ensure that the issues are managed and considered according to the specified practices, conditions and timeframes","-Customers must have understanding of their rights and duties for the use of financial services, as service providers have a leading role in giving financial knowledge to their customers.","-a service provider that focuses on retail customers should have in place basic products and services to increase the accessibility to financial services of those who may need special care e.g. elderly customers, disabled persons as well as customers with low level of income, at reasonable prices, according to the
regulations to be further specified by the Bank of Thailand.
-In offering products and services to vulnerable customers who may need higher levels of protection than other groups of customers, a service provider must cautiously communicate and offer products to this group of customers, and must place importance on the offering of products that are appropriate to this group of
customers, by setting out a sales process that focuses on a Know-Your-Customer process to ensure that the service provider is aware of the customers’ needs, financial capability and understandability and can, accordingly, provide sufficient product information and warnings and, also, offer appropriate products, or, even, consider usingadditional processes to ensure that the products are cautiously offered to the
customers. ",,,,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610034.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610034.pdf,
Thailand,Bank of Thailand (BOT) ,"Regulations on Practices and Disclosure regarding Interest, Service Charges, and Penalties for Financial Products and Services",2022.0,"Financial institutions, Specialized financial institutions, The companies within the financial business groups which undertake businesses as prescribed by the Bank of Thailand, Credit card companies, Personal loan companies under supervision, Nano finance companies under supervision, Electronic system or network providers for peer-to-peer lending, Business providers of designated payment services, Asset management companies, Other business providers that shall be further prescribed by the Bank of Thailand",,,"The disclosure of interest, service charges, and penalties must be accurate, complete, clear, and present so that the customers are able to make decisions whether to use the financial products and services.","All service providers within the scope of application must comply with the following guiding principles set by the Bank of Thailand by implementing them according to the characteristics of each service provider type, e.g., business operations, business scopes, and types of products and services.","The collection of interest, service charges, and penalties from the customers must be appropriate. The prices and rates must be fair, not exploitative, and not redundant. In determining the prices and rates, the service providers must consider the actual costs incurred from the business operations, Furthermore, the service providers must not accumulate the interest, service charges, penalties, and expenses despite being paid and reasonable to the loan outstanding balance to recalculate the interest and penalties, except for an overdraft with the condition that the customers have freely requested or given consents to such accumulation",,,,,,,,,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2565/EngPDF/25650048.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2565/EngPDF/25650048.pdf,
Timor-Leste,Banco Central de Timor‑Leste (BCTL),DECREE-LAW Nº 17/2015,2015.0,"-Payment Services, operating wholly or partially in the country.                                                                                       -not applicable to the State, Municipalities and to state direct or indirect administration bodies when acting vested in their public authority, except in the extent and when acting as Participant, Operator or Payment Service Provider. ","The Central Bank may at any time issue directives or regulations applicable to Banks,Payment Services Providers or Operators with respect to their governance,
management, operations, relations with customers, and relations with Systems and
any other matter for the efficient administration of this Decree-Law.",,"The terms and conditions of Electronic Fund Transfers involving a customer’s account shall be disclosed by the Bank or Payment Service Provider at the time the customer contracts for an Electronic Fund Transfer service, in a manner that is clearly understood by the customer, and in accordance with the rules issued by the Central Bank.

Customers must be fully informed—upfront—about risks, fees, rights, limits, and how their information may be shared before using electronic fund transfer services.

A Bank or other Payment Service Provider shall notify a customer in writing or such other means as may be prescribed by the Central Bank from time to time, at least twenty-one days prior to the effective date of any material change in any term or condition of the customer’s account required to be disclosed, unless such change is immediately necessary to maintain or restore the security of an Electronic Fund Transfer system or a customer’s account in which case said communication shall take place as possible.",,"The measures issued by the Central Bank shall require any Payment Service Provider who imposes a fee on any customer for executing or receiving Electronic Transfers, to provide notice to the customer of the fact that:
a) a fee is imposed; and
b) the amount of any such fee.

No fee may be imposed in connection with any Electronic Fund Transfer initiated by a customer for which a notice is required, unless the customer receives such notice in accordance, and it elects to continue in the manner necessary to effect the transaction after receiving such notice. ",,The Central Bank may establish the rules under which the arbitrators operate,,,,,, ,https://www.bancocentral.tl/uploads/documentos/documento_1479943794_3295.pdf,https://www.bancocentral.tl/uploads/documentos/documento_1479943794_3295.pdf,
Timor-Leste,Banco Central de Timor‑Leste (BCTL),Consumer Protection Law,2016.0,"goods and services provided and transmitted by any natural or legal person, national or foreign, public or private","-Unfair terms are null and void if the contractual clauses include obligations which are considered to be unfair, placing the consumer at a great disadvantage or are incompatible with good faith and fairness
-Unfair commercial practices shall be prohibited",,"The consumer shall be entitled to Protection against misleading and abusive advertising

The consumer shall be entitled to  Information on consumption, appropriate to goods and services, ensuring freedom of choice and equality in contracting

the supplier shall inform the consumer both in the course of negotiations and in the conclusion of the contract in a clear, objective, adequate and readily understandable manner about the characteristics of the goods and services, in particular the correct specification of quantity, composition, quality, price, duration of contract, associated risks, guarantee and the term of delivery and assistance after the legal transaction and consequences of non-payment of the price of the good or service",Goods and services intended for consumption must be capable of satisfying the purposes for which they are intended and of producing the effects attributed to them,Unfair commercial practices shall be prohibited. Raising prices of goods and services without just cause shall be considered as an abusive practice,,"A consumer who is supplied with defective goods or services, unless he or she has been previously informed and clarified prior to the conclusion of the contract, may, irrespective of the fault of the supplier of the goods, require the repair or replacement of the goods, price reduction or termination of the contract",all misleading or abusive advertising is prohibited. The consumer has the duty to report any violation of their rights to the competent authorities,The consumer shall be entitled to training and education for consumption,, ,"Violations of consumer protection regulations shall be subject, as the case may be and without prejudice to penalties and those defined in specific rules, to the following administrative sanctions:
-Fine
-Prohibition of production of the good;
-Suspension of supply of goods or services;
-Temporary suspension of activity;
-Revocation of activity authorization
-Prohibition, total or partial, of establishment, work or activity", ,https://timor-leste.gov.tl/?p=27114&lang=en,https://www.timor-lestetradeportal.org/upload/files/legal_20230520032235.pdf,
Timor-Leste,Banco Central de Timor‑Leste (BCTL),Regulation No. 2000/8 On Bank Licensing And Supervision,2000.0,"banks and their shareholders, administrators, employees, agents and affiliated entities","Banks shall refrain from entering into transactions or engaging in practices of any kind that would provide them, alone or together with others, a position of dominance on the money, capital or foreign exchange markets. Banks shall also refrain from engaging in manipulative devices or practices that could result in an unfair advantage for themselves or for third parties.","Banks must comply with Central Payments Office instructions on maintaining adequate liquidity (including eligible deposits with the CPO), limiting real‑estate investments, and properly classifying assets and making provisions for substandard and non‑performing loans, including income recognition rules.",,,,,,,,,"Each bank shall prepare and submit to the Central Payments Office reports concerning its administration and operations, liquidity, solvency, and profitability, and those of its subsidiaries, that accurately reflect the financial condition of the bank and each of its subsidiaries on an individual and a consolidated basis. The reports shall be prepared in such form and detail and shall be submitted at such intervals as shall be prescribed by instruction of the Central Payments Office.", , ,https://mj.gov.tl/jornal/lawsTL/UNTAET-Law/Regulations%20English/Reg2000-08.pdf,https://mj.gov.tl/jornal/lawsTL/UNTAET-Law/Regulations%20English/Reg2000-08.pdf,
Timor-Leste,Banco Central de Timor‑Leste (BCTL),Guidelines 1 For The Lincesing And Operations Of Money Transfer Operators,2013.0,"persons or business entities providing Remittance Services in Timor-Leste including Agents of a money transfer operator (MTO), their Administrators and Principal Shareholders",,"In the event that an outward remittance is lost or unduly delayed in transit, the MTO shall reimburse its customer with the remittance amount and the fees paid, or re-send the remittance at no additional cost to the customer",A MTO shall clearly disclose the terms and conditions of the Remittance Services that it provides including all fees and charges imposed. The notice and the MTO license shall be displayed in a prominent place easily accessible to the customer,,,,,"In the event that a customer believes that a MTO has failed to meet its obligations, the customer shall have the right to submit a complaint to the MTO:
a) The complaint shall be in writing;
b) The complaint shall set out all the relevant facts;
c) The complaint shall be supported by copies of all relevant documents, including a copy of the remittance receipt;
d). If appropriate, the complaint shall be supported by a statutory declaration from the intended beneficiary that the funds have not been received.

-A MTO shall investigate each complaint received and shall respond to the customer in writing within ten (10) business days setting out a proposed remedy to the customer’s complaint",,,,"The remedial measures and penalties provided for infractions described in this Article shall be determined by the BCTL on a case by case basis.

The BCTL may take one or more of the following actions or impose the following penalties:
a). Issue written warnings;
b). Issue written orders to cease and desist from such infractions and to undertake
remedial action;
c). Impose fines on the MTO or the Agent or any of its Administrators or Principal
Shareholders", ,https://www.bancocentral.tl/uploads/documentos/documento_1459183843_1799.pdf,https://www.bancocentral.tl/uploads/documentos/documento_1459183843_1799.pdf,
Timor-Leste,Banco Central de Timor‑Leste (BCTL),BCTL Instruction No 01/2013 On The Licensing And Supervision Of Money Transfer Operators,2013.0,"persons or business entities providing Remittance Services in Timor-Leste including Agents of a money transfer operator (MTO), their Administrators and Principal Shareholders",,"In the event that an outward remittance is lost or unduly delayed in transit, the MTO shall reimburse its customer with the remittance amount and the fees paid, or re-send the remittance at no additional cost to the customer",A MTO shall clearly disclose the terms and conditions of the Remittance Services that it provides including all fees and charges imposed. The notice and the MTO license shall be displayed in a prominent place easily accessible to the customer,,,,,"In the event that a customer believes that a MTO has failed to meet its obligations, the customer shall have the right to submit a complaint to the MTO:
a) The complaint shall be in writing;
b) The complaint shall set out all the relevant facts;
c) The complaint shall be supported by copies of all relevant documents, including a copy of the remittance receipt;
d). If appropriate, the complaint shall be supported by a statutory declaration from the intended beneficiary that the funds have not been received.

-A MTO shall investigate each complaint received and shall respond to the customer in writing within ten (10) business days setting out a proposed remedy to the customer’s complaint",,,,"The remedial measures and penalties provided for infractions described in this Article shall be determined by the BCTL on a case by case basis.

The BCTL may take one or more of the following actions or impose the following penalties:
a). Issue written warnings;
b). Issue written orders to cease and desist from such infractions and to undertake
remedial action;
c). Impose fines on the MTO or the Agent or any of its Administrators or Principal
Shareholders", ,https://www.bancocentral.tl/uploads/documentos/documento_1459177763_6326.pdf,https://www.bancocentral.tl/uploads/documentos/documento_1459177763_6326.pdf,
Viet Nam,Ministry of Industry and Trade (MOIT),Law on Protection of Consumer Rights (LPCR) – Law No. 19/2023/QH15,2023.0,"Consumers, traders, socio-political organizations participating in protecting consumer rights, domestic and foreign agencies, organizations and individuals related to protection of consumer rights.",Businesses must not include contract terms that impose penalties on consumers that are harsher or more disadvantageous to them when a contract is breached or terminated.,,"Businesses must provide adequate, truthful and accurate information about the product, good or service and activities by the trade",,,"Businesses, whether by themselves or by authorizing or hiring a third party to collect, store, use, modify, update, or cancel consumer information must ensure the safety and security of consumer information as stipulated by this Law and other relevant laws. In case businesses authorize or hire a third party to collect, store, use, modify, update or cancel consumer information, they must obtain the consumers’ consent

-Businesses must ensure the safety and security of consumer information
that they collect, store, or use, and take measures to prevent the following acts:
a) Unauthorized theft or access to information;
b) Unauthorized use of information;
c) Unauthorized modification, update or deletion of information","- Consumers may initiate lawsuits, seek mediation, arbitration, or administrative intervention.
- Vulnerable consumers must be given priority in complaint resolution and compensation cases.","
- Businesses shall organize the receipt and handling of consumers’ feedback, requests and complaints.
-Businesses shall notify consumers of the receipt of their feedback, request or complaint within 3 working days from the date of receipt",Government and organizations must provide training to increase consumers’ awareness and knowledge.,"Definition of vulnerable consumer: someone who, at the time of purchasing or using products/services, is at risk of disadvantage regarding access to information, health, property, or dispute resolution.

-Businesses must ensure the rights and privileges of vulnerable consumers
-Businesses must prioritize the receipt and processing of requests from vulnerable consumers and must not transfer these requests unless the transferee is competent.
-If a business delays, denies, or refuses priority treatment for a vulnerable consumer, it must compensate them under civil law.",No explicit provision applicable,"-Penalties for discrimination or stigmatization of vulnerable consumers include fines up to VND 70 million.( ≈ US$ 2,660)
-Unauthorized sharing/transfer of consumer data (VND 100–200 million)
(based on Decree 24/2025/ND‑CP )/ US$ ~3,780 to 7,700",,https://vanban.chinhphu.vn/?pageid=27160&docid=208363&classid=1&typegroupid=3,https://english.luatvietnam.vn/thuong-mai/law-on-protection-of-consumer-rights-no-19-2023-qh15-259732-d1.html,
Viet Nam,State Bank of Viet Nam,Decree No. 52/2024/ND‑CP on Non‑Cash Payments,2024.0,"Non-cash payment service providers; payment intermediary service providers, organizations and individuals engaged in the provision of non-cash
payment services and payment intermediary services.",,,,,,"-Providers are prohibited from disclosing or providing information on the balances of payment accounts, bank cards, or e-wallets and payment transactions of clients at payment service providers or payment intermediary service providers unless consented by the clients
",,,,,,,,https://vanban.chinhphu.vn/?pageid=27160&docid=210262,https://static3.luatvietnam.vn/uploaded/vietlawfile/2024/5/52_2024_nd_cp_270524162102.pdf,
Viet Nam,State Bank of Viet Nam,Circular No. 15/2024/TT‑NHNN – On Provision of Non‑Cash Payment Services,2024.0,"Non-cash payment service providers; payment intermediary service providers, organizations and individuals engaged in the provision of non-cash
payment services and payment intermediary services.",,,"
Banks must have measures to notify customers electronically of the evidence of payment transactions made by electronic means, which must at least clearly state the transaction reference number, transaction date, and transaction amount. The notification channel must be at least through SMS or email or other notification channels and must be specified in the written agreement with the customer.",,"
Payment acceptance units (PAU) must publicly disclose that there is no price discrimination or additional fees for non-cash payment transactions for goods and services compared to cash payments. PAUs must refund or, through the payment service provider, refund to customers the price difference or additional fees collected in violation of regulations.","The information and data of electronic documents must be fully controlled to ensure the legality, validity, and integrity of the information. At the same time, the documents must be controlled and securely managed to prevent
and avoid illegal exploitation, intrusion, and copy of information","
'- Within a maximum of 5 working days from the date of notifying the customer of the reconciliation or complaint resolution results, the payment service provider or intermediary payment service provider shall compensate the customer for losses in accordance with the agreement and current legal provisions for losses that arise not due to the customer's fault and/or not falling under force majeure circumstances as agreed upon in the terms and conditions of service use
- In cases where the time limit for reconciliation or complaint resolution as prescribed in Clause 3 of this Article has expired without determining the cause or fault of any party, within the next 15 working days, the payment service provider or intermediary payment service provider shall agree with the customer on a resolution plan. If no agreement can be reached, the dispute resolution shall be carried out in accordance with the law.
- Payment service providers shall be responsible for coordinating to promptly handle reconciliation requests in payment authorization and collection authorization: within 04 working days from the time of receiving the reconciliation request, the receiving party must respond to the request/result of reconciliation to the requesting party or return the payment order with the reconciliation request information","
Providers must promptly handle reconciliation & complaints, with:
-Minimum 60‑day window for consumers to file complaints.
-Maximum 30 working days to resolve complaints

Providers must offer at least two accessible complaint channels (hotline & physical location; online allowed).",,,,,,https://congbao.chinhphu.vn/van-ban/thong-tu-so-15-2024-tt-nhnn-42185/50708.htm,https://static3.luatvietnam.vn/uploaded/vietlawfile/2024/7/15_2024_tt_nhnn_170724173412.pdf,
